=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.26 15:24:21 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
,,,,,
Tiempo ,CONTROL,VELOCIDA,REFERENC,,
2.935,2.857,4.062,4,,
2.94,2.878,4.035,4,,
2.945,2.925,3.977,4,,
2.95,2.937,3.965,4,,
2.955,2.9,4.01,4,,
2.96,2.908,4,4,,
2.965,2.926,3.98,4,,
2.97,2.899,4.012,4,,
2.975,2.881,4.033,4,,
2.98,2.903,4.005,4,,
2.985,2.92,3.985,4,,
2.99,2.88,4.033,4,,
2.995,2.895,4.012,4,,
3,2.933,3.967,4,,
3.005,2.937,3.965,4,,
3.01,2.876,4.037,4,,
3.015,2.868,4.045,4,,
3.02,2.9,4.005,4,,
3.025,2.898,4.008,4,,
3.03,2.876,4.033,4,,
3.035,2.909,3.993,4,,
3.04,2.948,3.947,4,,
3.045,2.901,4.005,4,,
3.05,2.892,4.015,4,,
3.055,2.911,3.993,4,,
3.06,2.913,3.99,4,,
3.065,2.851,4.062,4,,
3.07,2.864,4.045,4,,
3.075,2.92,3.977,4,,
3.08,2.927,3.97,4,,
3.085,2.892,4.012,4,,
3.09,2.9,4.003,4,,
3.095,2.928,3.97,4,,
3.1,2.884,4.023,4,,
3.105,2.87,4.037,4,,
3.11,2.896,4.005,4,,
3.115,2.918,3.98,4,,
3.12,2.878,4.027,4,,
3.125,2.9,4,4,,
3.13,2.928,3.967,4,,
3.135,2.929,3.967,4,,
3.14,2.866,4.043,4,,
3.145,2.862,4.045,4,,
3.15,2.895,4.005,4,,
3.155,2.899,4,4,,
3.16,2.879,4.023,4,,
3.165,2.906,3.99,4,,
3.17,2.939,3.952,4,,
3.175,2.907,3.993,4,,
3.18,2.886,4.017,4,,
3.185,2.902,3.997,4,,
3.19,2.909,3.99,4,,
3.195,2.853,4.055,4,,
3.2,2.861,4.043,4,,
3.205,2.917,3.975,4,,
3.21,2.931,3.96,4,,
3.215,2.886,4.015,4,,
3.22,2.887,4.012,4,,
3.225,2.913,3.983,4,,
3.23,2.888,4.012,4,,
3.235,2.863,4.04,4,,
3.24,2.898,3.997,4,,
3.245,2.926,3.965,4,,
3.25,2.876,4.025,4,,
3.255,2.892,4.005,4,,
3.26,2.929,3.963,4,,
3.265,2.924,3.97,4,,
3.27,2.856,4.05,4,,
3.275,2.863,4.04,4,,
3.28,2.897,3.997,4,,
3.285,2.902,3.993,4,,
3.29,2.889,4.008,4,,
3.295,2.912,3.98,4,,
3.3,2.946,3.943,4,,
3.305,2.901,3.997,4,,
3.31,2.88,4.023,4,,
3.315,2.892,4.008,4,,
3.32,2.906,3.99,4,,
3.325,2.859,4.045,4,,
3.33,2.874,4.025,4,,
3.335,2.923,3.967,4,,
3.34,2.942,3.947,4,,
3.345,2.886,4.015,4,,
3.35,2.881,4.02,4,,
3.355,2.91,3.985,4,,
3.36,2.889,4.01,4,,
3.365,2.861,4.043,4,,
3.37,2.906,3.988,4,,
3.375,2.933,3.957,4,,
3.38,2.892,4.008,4,,
3.385,2.902,3.995,4,,
3.39,2.928,3.965,4,,
3.395,2.925,3.97,4,,
3.4,2.854,4.055,4,,
3.405,2.86,4.045,4,,
3.41,2.905,3.99,4,,
3.415,2.903,3.993,4,,
3.42,2.891,4.008,4,,
3.425,2.914,3.98,4,,
3.43,2.934,3.957,4,,
3.435,2.898,4.003,4,,
3.44,2.884,4.017,4,,
3.445,2.899,4,4,,
3.45,2.905,3.993,4,,
3.455,2.867,4.037,4,,
3.46,2.887,4.012,4,,
3.465,2.927,3.965,4,,
3.47,2.937,3.955,4,,
3.475,2.883,4.02,4,,
3.48,2.872,4.033,4,,
3.485,2.898,4,4,,
3.49,2.894,4.005,4,,
3.495,2.87,4.033,4,,
3.5,2.907,3.988,4,,
3.505,2.938,3.952,4,,
3.51,2.899,4,4,,
3.515,2.89,4.01,4,,
3.52,2.916,3.98,4,,
3.525,2.915,3.983,4,,
3.53,2.849,4.06,4,,
3.535,2.863,4.04,4,,
3.54,2.913,3.98,4,,
3.545,2.92,3.972,4,,
3.55,2.894,4.005,4,,
3.555,2.911,3.985,4,,
3.56,2.944,3.947,4,,
3.565,2.894,4.008,4,,
3.57,2.875,4.03,4,,
3.575,2.899,4,4,,
3.58,2.916,3.98,4,,
3.585,2.87,4.035,4,,
3.59,2.898,4,4,,
3.595,2.937,3.955,4,,
3.6,2.939,3.955,4,,
3.605,2.883,4.023,4,,
3.61,2.88,4.025,4,,
3.615,2.909,3.99,4,,
3.62,2.894,4.008,4,,
3.625,2.873,4.033,4,,
3.63,2.91,3.988,4,,
3.635,2.94,3.952,4,,
3.64,2.902,4,4,,
3.645,2.904,3.997,4,,
3.65,2.928,3.97,4,,
3.655,2.927,3.972,4,,
3.66,2.862,4.05,4,,
3.665,2.864,4.045,4,,
3.67,2.911,3.988,4,,
3.675,2.918,3.98,4,,
3.68,2.895,4.008,4,,
3.685,2.916,3.983,4,,
3.69,2.943,3.952,4,,
3.695,2.907,3.997,4,,
3.7,2.883,4.025,4,,
3.705,2.908,3.995,4,,
3.71,2.914,3.988,4,,
3.715,2.861,4.05,4,,
3.72,2.882,4.023,4,,
3.725,2.933,3.963,4,,
3.73,2.937,3.96,4,,
3.735,2.883,4.025,4,,
3.74,2.893,4.012,4,,
3.745,2.916,3.985,4,,
3.75,2.89,4.015,4,,
3.755,2.873,4.035,4,,
3.76,2.907,3.993,4,,
3.765,2.934,3.963,4,,
3.77,2.895,4.01,4,,
3.775,2.901,4.003,4,,
3.78,2.924,3.975,4,,
3.785,2.923,3.977,4,,
3.79,2.86,4.053,4,,
3.795,2.861,4.047,4,,
3.8,2.904,3.995,4,,
3.805,2.913,3.985,4,,
3.81,2.892,4.01,4,,
3.815,2.911,3.988,4,,
3.82,2.953,3.94,4,,
3.825,2.902,4.003,4,,
3.83,2.872,4.037,4,,
3.835,2.898,4.005,4,,
3.84,2.913,3.988,4,,
3.845,2.862,4.047,4,,
3.85,2.879,4.025,4,,
3.855,2.931,3.963,4,,
3.86,2.942,3.952,4,,
3.865,2.886,4.02,4,,
3.87,2.883,4.023,4,,
3.875,2.914,3.985,4,,
3.88,2.889,4.015,4,,
3.885,2.869,4.037,4,,
3.89,2.901,3.997,4,,
3.895,2.929,3.965,4,,
3.9,2.886,4.017,4,,
3.905,2.902,3.997,4,,
3.91,2.928,3.967,4,,
3.915,2.928,3.97,4,,
3.92,2.862,4.047,4,,
3.925,2.862,4.045,4,,
3.93,2.897,4.003,4,,
3.935,2.899,4,4,,
3.94,2.881,4.02,4,,
3.945,2.909,3.988,4,,
3.95,2.941,3.95,4,,
3.955,2.907,3.993,4,,
3.96,2.89,4.012,4,,
3.965,2.907,3.993,4,,
3.97,2.909,3.99,4,,
3.975,2.856,4.053,4,,
3.98,2.86,4.045,4,,
3.985,2.912,3.983,4,,
3.99,2.928,3.965,4,,
3.995,2.891,4.01,4,,
4,2.899,4,4,,
4.005,2.92,3.975,4,,
4.01,2.893,4.008,4,,
4.015,2.869,4.035,4,,
4.02,2.896,4.003,4,,
4.025,2.911,3.985,4,,
4.03,2.862,4.043,4,,
4.035,2.881,4.017,4,,
4.04,2.928,3.963,4,,
4.045,2.936,3.955,4,,
4.05,2.882,4.02,4,,
4.055,2.886,4.015,4,,
4.06,2.9,3.997,4,,
4.065,2.883,4.017,4,,
4.07,2.865,4.037,4,,
4.075,2.895,4,4,,
4.08,2.915,3.977,4,,
4.085,2.884,4.015,4,,
4.09,2.896,4,4,,
4.095,2.926,3.965,4,,
4.1,2.928,3.965,4,,
